Woche,Corona
2/02/2020,2
9/02/2020,1
16/02/2020,1
23/02/2020,17
1/03/2020,24
8/03/2020,67
15/03/2020,100
22/03/2020,72
29/03/2020,56
5/04/2020,44
12/04/2020,45
19/04/2020,36
26/04/2020,33
3/05/2020,37
10/05/2020,30
17/05/2020,25
24/05/2020,24
31/05/2020,22
7/06/2020,20
14/06/2020,23
21/06/2020,21
28/06/2020,18
5/07/2020,19
12/07/2020,17
19/07/2020,17
26/07/2020,21
2/08/2020,20
9/08/2020,22
16/08/2020,22
23/08/2020,23
30/08/2020,18
6/09/2020,16
13/09/2020,19
20/09/2020,21
27/09/2020,22
4/10/2020,31
11/10/2020,46
18/10/2020,56
25/10/2020,58
1/11/2020,34
8/11/2020,32
15/11/2020,30
22/11/2020,30
29/11/2020,28
6/12/2020,41
13/12/2020,43
20/12/2020,37
27/12/2020,31
3/01/2021,42
10/01/2021,34
17/01/2021,35
24/01/2021,28
31/01/2021,25
7/02/2021,28
14/02/2021,25
21/02/2021,28
28/02/2021,33
7/03/2021,30
14/03/2021,35
21/03/2021,45
28/03/2021,41
4/04/2021,38
11/04/2021,41
18/04/2021,43
25/04/2021,38
2/05/2021,37
9/05/2021,39
16/05/2021,38
23/05/2021,35
30/05/2021,34
6/06/2021,27
13/06/2021,23
20/06/2021,20
27/06/2021,19
4/07/2021,20
11/07/2021,19
18/07/2021,21
25/07/2021,21
1/08/2021,18
8/08/2021,20
15/08/2021,20
22/08/2021,20
29/08/2021,19
5/09/2021,16
12/09/2021,16
19/09/2021,13
26/09/2021,12
3/10/2021,12
10/10/2021,13
17/10/2021,13
24/10/2021,14
31/10/2021,19
7/11/2021,27
14/11/2021,36
21/11/2021,42
28/11/2021,41
5/12/2021,29
12/12/2021,24
19/12/2021,27
26/12/2021,24
2/01/2022,23
9/01/2022,25
16/01/2022,22
23/01/2022,22
30/01/2022,20
6/02/2022,19
13/02/2022,16
20/02/2022,14
27/02/2022,14
6/03/2022,15
13/03/2022,17
20/03/2022,15
27/03/2022,15
3/04/2022,12
10/04/2022,10
17/04/2022,8
24/04/2022,7
1/05/2022,7
8/05/2022,6
15/05/2022,5
22/05/2022,5
29/05/2022,5
5/06/2022,6
12/06/2022,6
19/06/2022,7
26/06/2022,8
3/07/2022,8
10/07/2022,7
17/07/2022,7
24/07/2022,6
31/07/2022,5
7/08/2022,5
14/08/2022,4
21/08/2022,4
28/08/2022,4
4/09/2022,4
11/09/2022,4
18/09/2022,4
25/09/2022,5
2/10/2022,6
9/10/2022,6
16/10/2022,5
23/10/2022,4
30/10/2022,3
6/11/2022,3
13/11/2022,3
20/11/2022,3
27/11/2022,3
4/12/2022,3
11/12/2022,3
18/12/2022,3
25/12/2022,3
1/01/2023,3
